magAV sigmaAV magBV sigmaBV magAR sigmaAR magBR sigmaBR MJD
-0.2100 0.0030 1.2510 0.0070 -0.1720 0.0030 1.2240 0.0070 54624.4000
-0.2020 0.0030 1.2430 0.0080 NaN NaN NaN NaN 54626.4000
-0.2000 0.0020 1.2160 0.0050 NaN NaN NaN NaN 54628.4000
-0.2040 0.0020 1.2410 0.0060 NaN NaN NaN NaN 54633.4000
-0.2130 0.0040 1.2490 0.0110 NaN NaN NaN NaN 54640.4000
-0.2140 0.0040 1.2640 0.0090 -0.1940 0.0040 1.2290 0.0090 54644.4000
-0.2210 0.0030 1.2510 0.0080 -0.1790 0.0040 1.2440 0.0080 54646.4000
-0.2220 0.0030 1.2370 0.0070 -0.1950 0.0030 1.2390 0.0070 54648.4000
-0.2300 0.0050 1.2220 0.0120 -0.1960 0.0050 1.2360 0.0120 54650.4000
-0.2110 0.0020 1.2450 0.0050 -0.1950 0.0020 1.2490 0.0060 54652.4000
-0.2160 0.0030 1.2520 0.0080 -0.1880 0.0020 1.2430 0.0060 54654.4000
-0.2200 0.0030 1.2250 0.0060 -0.2130 0.0040 1.2330 0.0090 54655.4000
-0.2290 0.0050 1.2270 0.0120 -0.1900 0.0040 1.2410 0.0100 54656.4000
-0.2330 0.0040 1.2720 0.0110 -0.1990 0.0040 1.2590 0.0090 54660.3000
-0.2360 0.0060 1.1940 0.0150 -0.2190 0.0040 1.2240 0.0090 54662.3000
NaN NaN NaN NaN -0.2020 0.0040 1.2480 0.0090 54664.3000
-0.2460 0.0050 1.1740 0.0130 NaN NaN NaN NaN 54670.3000
-0.2320 0.0050 1.2210 0.0110 -0.2030 0.0040 1.2040 0.0090 54672.3000
-0.2560 0.0030 1.1700 0.0070 -0.2150 0.0040 1.2590 0.0090 54674.3000
-0.2640 0.0030 1.2030 0.0080 -0.2070 0.0040 1.2040 0.0080 54675.3000
-0.2600 0.0040 1.1930 0.0080 -0.2140 0.0060 1.2510 0.0130 54677.3000
-0.2600 0.0040 1.2270 0.0100 -0.2180 0.0050 1.2200 0.0120 54678.3000
-0.2750 0.0040 1.1900 0.0090 -0.2200 0.0040 1.1990 0.0090 54681.3000
