magBV sigmaBV magA1V sigmaA1V magA2V sigmaA2V magCV sigmaCV magBR sigmaBR magA1R sigmaA1R magA2R sigmaA2R magCR sigmaCR MJD
2.0030 0.0060 1.4300 0.0070 2.0150 0.0110 2.3100 0.0090 2.0730 0.0070 1.4560 0.0080 2.0100 0.0130 2.2960 0.0090 54623.4000
1.9790 0.0040 1.4610 0.0060 1.9850 0.0080 2.2730 0.0050 2.0560 0.0020 1.4730 0.0020 1.9900 0.0020 2.2860 0.0020 54625.4000
1.9880 0.0040 1.4560 0.0060 2.0060 0.0090 2.3060 0.0070 2.0640 0.0020 1.4590 0.0020 1.9970 0.0030 2.2910 0.0020 54627.4000
1.9940 0.0060 1.4440 0.0070 2.0390 0.0100 2.2950 0.0080 2.0560 0.0040 1.4540 0.0030 2.0080 0.0050 2.2930 0.0040 54629.4000
2.0260 0.0100 1.4540 0.0160 2.0030 0.0250 2.3050 0.0150 2.0560 0.0070 1.4800 0.0080 1.9880 0.0120 2.2670 0.0100 54641.4000
2.0210 0.0080 1.3970 0.0090 2.0480 0.0130 2.3190 0.0090 2.0880 0.0040 1.4430 0.0040 2.0390 0.0050 2.2980 0.0040 54645.4000
2.0470 0.0050 1.4390 0.0060 2.0250 0.0080 2.3540 0.0060 2.0850 0.0040 1.4600 0.0030 1.9980 0.0050 2.3040 0.0030 54647.4000
2.0510 0.0070 1.4310 0.0080 2.0290 0.0130 2.3630 0.0090 2.0930 0.0060 1.4610 0.0070 2.0000 0.0120 2.2900 0.0080 54649.4000
2.0600 0.0070 1.3850 0.0090 2.0460 0.0140 2.3850 0.0100 2.0850 0.0050 1.4360 0.0060 2.0300 0.0090 2.3100 0.0060 54651.4000
2.0210 0.0170 1.4730 0.0300 1.9900 0.0460 2.3870 0.0290 NaN NaN NaN NaN NaN NaN NaN NaN 54653.4000
2.0710 0.0080 1.3960 0.0090 2.0500 0.0130 2.3590 0.0100 2.0920 0.0040 1.4590 0.0030 1.9960 0.0040 2.3130 0.0040 54655.4000
2.0370 0.0110 1.4900 0.0150 1.9100 0.0220 2.3660 0.0160 2.1170 0.0110 1.4730 0.0140 1.9760 0.0210 2.3160 0.0150 54657.4000
2.0510 0.0090 1.4210 0.0090 2.0220 0.0130 2.3560 0.0120 2.1230 0.0090 1.4530 0.0080 2.0010 0.0110 2.2920 0.0100 54661.3000
2.0380 0.0090 1.4260 0.0130 2.0620 0.0220 2.3370 0.0130 2.1060 0.0090 1.4570 0.0140 2.0280 0.0220 2.3280 0.0130 54671.3000
2.0400 0.0090 1.4040 0.0100 2.1230 0.0180 2.3900 0.0120 2.0840 0.0110 1.4490 0.0130 2.0460 0.0210 2.3190 0.0150 54674.3000
2.0430 0.0070 1.4410 0.0090 2.0750 0.0130 2.3440 0.0090 2.0780 0.0070 1.4640 0.0080 2.0470 0.0120 2.2960 0.0080 54675.3000
